brand,name,size(g),price,unit_price
Old Dutch,Rip-L Chips,600,6.300000000000001,1.05
President's Choice,"Kettle Cooked Potato Chips, Original",220,1.6720000000000002,0.76
The Good Bean,Sweet Cinnamon Chick Peas Snack,170,3.9779999999999998,2.34
Lay's,"Potato Chips, Classic",450,4.59,1.02
Lay's,"Potato Chips, Regular",220,3.278,1.49
Terra,Cheetos Snowflakes Snacks,180,2.9699999999999998,1.65
Lay's,Wavy Lightly Salted Chips,255,3.1875,1.25
No Name,Original Low Sodium,354,6.9738,1.97
Que Pasa,"Potato Chips, Ketchup",66,1.6896000000000002,2.56
Old Dutch,Party Mix,320,2.9760000000000004,0.93
Beanfields,"Potato Chips, Regular",380,4.598,1.21
President's Choice,Unsalted Tortilla Chips,350,3.465,0.99
Pringles,"Potato Chips, Sour Cream & Onion",255,3.468,1.36
President's Choice,Pico de Gallo Bean & Rice Chips,156,4.9764,3.19
Boulder Canyon,"Crunchy Cheese Flavoured Snacks, Cheddar Jalapeño",310,2.976,0.96
Miss Vickies,Caramelized Onion & Balsamic Vinegar Flavour Kettle Cooked Potato Chips,220,1.6720000000000002,0.76
Miss Vickies,"Parsnip Chips, Lightly Salted",150,3.9749999999999996,2.65
Terra,Mystery Flavour,156,1.6692000000000002,1.07
Old Dutch,Sweet & Heat Popcorn,220,2.4859999999999998,1.13
President's Choice,"Potato Chips, Malt Vinegar & Sea Salt",142,1.5336,1.08
No Name,"Kettle Cooked Potato Chips, Sour Cream & Caramelized Onion",220,2.8820000000000006,1.31
Kettle,"Kettle Cooked Potato Chips, Sea Salt & Malt Vinegar",300,4.59,1.53
Old Dutch,Exotic Vegetable Chips Plantains Sea Salt,141,3.9761999999999995,2.82
Enjoy Life,"Tortilla Chips, Sea Salt & Hint of Lime",310,2.4800000000000004,0.8
No Name,Tortilla Bite Size Round Premium White Corn Tortilla Chips,350,2.975,0.85
No Name,"Potato Crisps, BBQ",142,1.278,0.9
Rooster,"Krinkle Cut Potato Chips, Salt & Fresh Ground Pepper",397,4.9625,1.25
President's Choice,"Dutch Crunch Kettle Chips, Parmesan & Garlic",200,3.28,1.64
President's Choice,Plentils Garlic and Parmesan Flavour Lentil Chips,113,3.4804,3.08
Doritos,Ripple Cut Potato Chips,200,1.18,0.59
Sunchips,"Potato Chips, Sour Cream & Onion",200,1.18,0.59
Pringles,Roasted Seaweed,1,0.0653,6.53
Old Dutch,"Kurkure Snacks, Masala Munch",115,0.9774999999999999,0.85
President's Choice,Rippled Potato Chips Loads of Ketchup Flavour Club Size,750,6.0,0.8
Old Dutch,"Tortilla Chips, Large Rounds",340,2.992,0.88
Calbee,"Tortilla Chips, Variety",504,6.9552,1.38
Tostitos,"Bag of Bones Cheese Flavoured Snacks, White Cheddar",180,2.9699999999999998,1.65
Lay's,"Multigrain Snacks, Garden Salsa",225,3.285,1.46
President's Choice,"Crisps, Sweet & Sour",156,2.3868,1.53
President's Choice,"Potato Chips, Dill Pickle",255,3.468,1.36
PC  Club Pack,Loads of Jalapeño Popper Flavour Rippled Potato Chips,200,1.68,0.84
