brand,name,size(g),price,unit_price
Pringles,Sour Cream & Onion Flavour Potato Chips,156,1.88,1.205128205128205
Miss Vickies,"Kettle Cooked Potato Chips, Sea Salt & Malt Vinegar",220,3.97,1.8045454545454545
Kettle,"Kettle Chips, New York Cheddar",220,2.48,1.1272727272727272
Que Pasa,Organic Carnival Tortilla Chips,300,3.98,1.3266666666666667
Old Dutch,"Dutch Crunch Kettle Chips, Sea Salt & Malt Vinegar",200,3.28,1.6399999999999997
Que Pasa,Unsalted Tortilla Chips,350,2.98,0.8514285714285714
Old Dutch,Popcorn Twists,175,2.58,1.4742857142857142
Lay's,"Potato Chips, Sea Salt & Pepper",255,2.47,0.9686274509803923
Lay's,"Poppables Potato Chips, White Cheddar",141,2.47,1.75177304964539
Lay's,"Potato Chips, Pizza",240,2.47,1.0291666666666668
Old Dutch,"Restaurante Tortilla Chips, Original",300,3.28,1.0933333333333333
Lay's,"Potato Chips, Sour Cream & Onion",255,2.47,0.9686274509803923
Miss Vickies,"Kettle Cooked Potato Chips, Balsamic Vinegar & Sweet Onion",220,3.97,1.8045454545454545
Old Dutch,"Restaurante Tortilla Chips, Deli Rounds",310,3.28,1.0580645161290323
Bugles,"Corn Chips, Ranch",213,1.97,0.9248826291079811
Doritos,"Tortilla Chips, Sweet Chilli Heat",400,4.58,1.145
Calbee,"Snapea Crisps, Black Pepper",93,2.48,2.6666666666666665
,"Krinkle Cut Sweet Potato Chips, Sea Salt",165,3.98,2.412121212121212
Popchips,"Ridges Potato Chips, Cheddar Sour Cream",85,3.28,3.8588235294117643
Miss Vickies,"Kettle Cooked Potato Chips, Original Recipe",300,4.58,1.5266666666666666
No Name Club Pack,Cheese Twists Club Pack,700,3.98,0.5685714285714285
Doritos,"Tortilla Chips, Nacho Cheese",255,3.18,1.2470588235294118
Lay's,Wavy Original Chips,255,2.47,0.9686274509803923
No Name,"Potato Crisp, Salt and Vinegar",142,1.28,0.9014084507042254
Pringles,Jalapeno Flavour Potato Chips,156,1.88,1.205128205128205
Tostitos,"Tortilla Chips, Restaurant style",480,4.58,0.9541666666666667
Old Dutch,"Potato Chips, Salt & Vinegar",255,3.48,1.3647058823529412
President's Choice,"White Corn Tortilla Chips, Restaurant Cut",320,2.98,0.9312499999999999
Lay's,"Wavy Chips, Sour Cream & Cheese",240,2.47,1.0291666666666668
Pringles,Pizza Flavour Potato Chips,156,1.88,1.205128205128205
,Kropek Crackers Shrimp Flavoured 70 g,70,1.18,1.6857142857142855
Doritos,"Tortilla Chips, Zesty Cheese",255,3.18,1.2470588235294118
Lay's,"Potato Chips, Salt & Vinegar",255,2.47,0.9686274509803923
Mamee,"Monster Noodle Snack, BBQ",300,3.88,1.2933333333333332
Kettle,"Krinkle Cut Potato Chips, Sea Salt & Vinegar",397,4.98,1.2544080604534005
Doritos,"Corn Chips, Sonic Sour",250,3.18,1.272
Tostitos,"Tortilla Chips, Rounds",505,4.58,0.9069306930693068
President's Choice,Thick Cut Aged Cheddar And Onion Flavour Rippled Potato Chips,200,1.68,0.84
Pringles,Ketchup Potato Chips,156,1.88,1.205128205128205
Tostitos,"Tortilla Chips, Multigrain",270,2.97,1.1
,"Potato Chips, Sour Cream 'n Onion",220,3.27,1.4863636363636363
Fresh Is Best Salsa & Co,Fresh is Best Salsa & Co. Tri-Flavour Corn Tortilla Chips,325,4.98,1.5323076923076924
Pringles,Cheddar Cheese Flavour Potato Chips,156,1.88,1.205128205128205
President's Choice,Rippled Potato Chips Loads of All Dressed Flavour Club Size,750,5.98,0.7973333333333334
Rooster,Roasted Seaweed,15,0.98,6.533333333333332
,"Potato Chips, Ketchup",150,1.98,1.32
Kettle,"Krinkle Cut Potato Chips, Salted",397,4.98,1.2544080604534005
President's Choice,Tortilla Bite Size Round Premium White Corn Tortilla Chips,350,2.98,0.8514285714285714
Terra,Exotic Vegetable Chips Plantains Sea Salt,141,3.98,2.8226950354609928
President's Choice,"Kettle Cooked Tortilla Chips, Sea Salt",368,3.98,1.0815217391304348
No Name,Ripple Cut Potato Chips,200,1.18,0.59
No Name,"Rings, Sour Cream & Onion",200,2.18,1.09
Lay's,"Potato Chips, Chalet Sauce",255,2.47,0.9686274509803923
Old Dutch,"Restaurante Tortilla Chips, Red & White",300,3.28,1.0933333333333333
Kettle,"Krinkle Cut Potato Chips, Dill Pickle",220,2.48,1.1272727272727272
,"Carrot Chips, Lightly Salted",150,2.98,1.9866666666666668
Old Dutch,"Rip-L Potato Chips, Lightly Salted",255,3.48,1.3647058823529412
Enjoy Life,"Plentils Lentil Chips, Margherita Pizza",113,3.98,3.5221238938053094
Haldiram,Nagpur Chana Choor Indian Snacks,150,1.58,1.0533333333333335
Old Dutch,Arriba Zasty Taco Flavour Tortilla Chips,245,3.28,1.3387755102040817
,"Banana Chips, Spicy",341,3.28,0.9618768328445748
No Name,"Potato Chips, Ketchup",200,1.18,0.59
,"Potato Chips, All Dressed",220,3.27,1.4863636363636363
,Simply Popped Microwave Pop Corn,510,3.98,0.7803921568627451
,"Potato Chips, Regular",380,4.58,1.2052631578947368
Old Dutch,Rip-L Chips,600,6.28,1.0466666666666669
Orville,Gourmet Popcorn Simply Salted,492,4.49,0.9126016260162603
President's Choice,Sea Salt And Malt Vinegar Flavour Kettle Cooked Potato Chips,220,1.68,0.7636363636363637
President's Choice,Thick Cut Potato Chips Original Flavour,200,1.68,0.84
Tostitos,"Tortilla Chips, Scoops!",215,2.97,1.3813953488372093
Lay's,"Potato Chips, Classic",450,4.58,1.017777777777778
,"Puffs Cheese Flavoured Snacks, Cheese",280,3.27,1.167857142857143
Lay's,"Potato Chips, Classic",475,4.98,1.048421052631579
Paqui,Paqui Very Verde Good Tortilla Chips,155,4.48,2.8903225806451616
Baken-Ets,"Baken-Ets Pork Rinds, Traditional Smoked",70,1.98,2.8285714285714287
Sensible Portions,Veggie Chips,142,3.48,2.450704225352113
Paqui,"Paqui Tortilla Chips, Nacho Cheese",155,4.48,2.8903225806451616
,Seasoned and Roasted Seaweed,120,9.48,7.9
Mamee,"Monster Noodle Snack, Chicken",300,3.88,1.2933333333333332
Doritos,"Tortilla Chips, Spicy Nacho",255,3.28,1.2862745098039217
Lay's,"Potato Chips, Dill Pickle",255,2.47,0.9686274509803923
The Good Bean,Sweet Cinnamon Chick Peas Snack,170,4.98,2.9294117647058826
No Name,"Potato Chips, BBQ",750,4.98,0.6640000000000001
President's Choice,Chickpea Tortilla Chips,320,2.48,0.775
Doritos,"Tortilla Chips, Zesty Cheese",80,1.69,2.1125
,Takis Fuego Chips,280,3.68,1.3142857142857143
,"Potato Chips, Regular",220,3.27,1.4863636363636363
Old Dutch,Chips,960,12.98,1.3520833333333335
Miss Vickies,"Kettle Cooked Potato Chips, Variety",7776,6.98,0.08976337448559672
No Name,"Potato Chips, All Dressed",200,1.18,0.59
,"Potato Chips, Smokin BBQ",150,1.98,1.32
President's Choice,"Tortilla Chips, Large Rounds",340,2.98,0.8764705882352942
Nong Shim,Shrimp Chips,45,1.28,2.8444444444444446
Miss Vickies,"Kettle Cooked Potato Chips, Jalapeño",220,3.97,1.8045454545454545
President's Choice,Loads of Jalapeño Popper Flavour Rippled Potato Chips,200,1.68,0.84
,"Puffs Cheese Flavoured Snacks, Cheese",425,4.58,1.0776470588235294
Pringles,Mega Can Sour Cream & Onion Flavour,202,2.98,1.4752475247524752
Old Dutch,Restaurante Multigrain Bites,290,3.28,1.1310344827586205
Bugles,"Corn Snacks, Original",213,1.97,0.9248826291079811
Kettle,"Potato Chips, Sea Salt",220,2.48,1.1272727272727272
Doritos,"Tortilla Chips, Variety",504,6.98,1.384920634920635
,"Potato Chips, Wild Onion & Yogurt",150,1.98,1.32
Que Pasa,"Tortilla Chips, Thin & Crispy Sea Salt",300,3.98,1.3266666666666667
,"Potato Chips, All Dressed",380,4.58,1.2052631578947368
Sunchips,"Multigrain Snacks, French Onion",225,3.67,1.631111111111111
Doritos,"Tortilla Chips, Nacho Cheese",400,4.58,1.145
Lay's,"Potato Chips, Ketchup",255,2.47,0.9686274509803923
Lay's,"Wavy Potato Chips, Ketchup",255,3.18,1.2470588235294118
Old Dutch,"Dutch Crunch Kettle Chips, Original",200,3.28,1.6399999999999997
Lay's,"Potato Chips, Classic",66,1.69,2.5606060606060606
No Name,"Potato Crisps, BBQ",142,1.28,0.9014084507042254
